     |   0.00  |   0.01  |0.0200000|   0.03  |   0.04  |   0.05  |   0.06  |   0.07  |   0.08  |   0.09  |
-4.0 | 0.00003 | 0.00003 | 0.00003 | 0.00003 | 0.00003 | 0.00003 | 0.00002 | 0.00002 | 0.00002 | 0.00002 |
-3.9 | 0.00005 | 0.00005 | 0.00004 | 0.00004 | 0.00004 | 0.00004 | 0.00004 | 0.00004 | 0.00003 | 0.00003 |
-3.8 | 0.00007 | 0.00007 | 0.00007 | 0.00006 | 0.00006 | 0.00006 | 0.00006 | 0.00005 | 0.00005 | 0.00005 |
-3.7 | 0.00011 | 0.00010 | 0.00010 | 0.00010 | 0.00009 | 0.00009 | 0.00008 | 0.00008 | 0.00008 | 0.00008 |
-3.6 | 0.00016 | 0.00015 | 0.00015 | 0.00014 | 0.00014 | 0.00013 | 0.00013 | 0.00012 | 0.00012 | 0.00011 |
-3.5 | 0.00023 | 0.00022 | 0.00022 | 0.00021 | 0.00020 | 0.00019 | 0.00019 | 0.00018 | 0.00017 | 0.00017 |
-3.4 | 0.00034 | 0.00032 | 0.00031 | 0.00030 | 0.00029 | 0.00028 | 0.00027 | 0.00026 | 0.00025 | 0.00024 |
-3.3 | 0.00048 | 0.00047 | 0.00045 | 0.00043 | 0.00042 | 0.00040 | 0.00039 | 0.00038 | 0.00036 | 0.00035 |
-3.2 | 0.00069 | 0.00066 | 0.00064 | 0.00062 | 0.00060 | 0.00058 | 0.00056 | 0.00054 | 0.00052 | 0.00050 |
-3.1 | 0.00097 | 0.00094 | 0.00090 | 0.00087 | 0.00084 | 0.00082 | 0.00079 | 0.00076 | 0.00074 | 0.00071 |
-3.0 | 0.00135 | 0.00131 | 0.00126 | 0.00122 | 0.00118 | 0.00114 | 0.00111 | 0.00107 | 0.00104 | 0.00100 |
-2.9 | 0.00187 | 0.00181 | 0.00175 | 0.00170 | 0.00164 | 0.00159 | 0.00154 | 0.00149 | 0.00144 | 0.00140 |
-2.8 | 0.00256 | 0.00248 | 0.00240 | 0.00233 | 0.00226 | 0.00219 | 0.00212 | 0.00205 | 0.00199 | 0.00193 |
-2.7 | 0.00347 | 0.00336 | 0.00326 | 0.00317 | 0.00307 | 0.00298 | 0.00289 | 0.00280 | 0.00272 | 0.00264 |
-2.6 | 0.00466 | 0.00453 | 0.00440 | 0.00427 | 0.00415 | 0.00403 | 0.00391 | 0.00379 | 0.00368 | 0.00357 |
-2.5 | 0.00621 | 0.00604 | 0.00587 | 0.00570 | 0.00554 | 0.00539 | 0.00523 | 0.00509 | 0.00494 | 0.00480 |
-2.4 | 0.00820 | 0.00798 | 0.00776 | 0.00755 | 0.00734 | 0.00714 | 0.00695 | 0.00676 | 0.00657 | 0.00639 |
-2.3 | 0.01073 | 0.01045 | 0.01017 | 0.00990 | 0.00964 | 0.00939 | 0.00914 | 0.00890 | 0.00866 | 0.00843 |
-2.2 | 0.01391 | 0.01355 | 0.01321 | 0.01288 | 0.01255 | 0.01223 | 0.01191 | 0.01161 | 0.01131 | 0.01101 |
-2.1 | 0.01787 | 0.01743 | 0.01701 | 0.01659 | 0.01618 | 0.01578 | 0.01539 | 0.01501 | 0.01463 | 0.01426 |
-2.0 | 0.02275 | 0.02222 | 0.02169 | 0.02118 | 0.02068 | 0.02018 | 0.01970 | 0.01923 | 0.01877 | 0.01831 |
-1.9 | 0.02872 | 0.02807 | 0.02743 | 0.02681 | 0.02619 | 0.02559 | 0.02500 | 0.02442 | 0.02385 | 0.02330 |
-1.8 | 0.03593 | 0.03515 | 0.03438 | 0.03363 | 0.03289 | 0.03216 | 0.03145 | 0.03075 | 0.03006 | 0.02938 |
-1.7 | 0.04457 | 0.04364 | 0.04272 | 0.04182 | 0.04093 | 0.04006 | 0.03921 | 0.03837 | 0.03754 | 0.03673 |
-1.6 | 0.05480 | 0.05370 | 0.05262 | 0.05156 | 0.05051 | 0.04948 | 0.04846 | 0.04746 | 0.04648 | 0.04552 |
-1.5 | 0.06681 | 0.06553 | 0.06426 | 0.06301 | 0.06179 | 0.06058 | 0.05939 | 0.05821 | 0.05706 | 0.05592 |
-1.4 | 0.08076 | 0.07928 | 0.07781 | 0.07637 | 0.07494 | 0.07354 | 0.07215 | 0.07079 | 0.06944 | 0.06812 |
-1.3 | 0.09681 | 0.09511 | 0.09343 | 0.09177 | 0.09013 | 0.08852 | 0.08692 | 0.08535 | 0.08380 | 0.08227 |
-1.2 | 0.11508 | 0.11315 | 0.11124 | 0.10936 | 0.10750 | 0.10566 | 0.10384 | 0.10205 | 0.10028 | 0.09853 |
-1.1 | 0.13568 | 0.13351 | 0.13137 | 0.12925 | 0.12715 | 0.12508 | 0.12303 | 0.12101 | 0.11901 | 0.11703 |
-1.0 | 0.15867 | 0.15626 | 0.15388 | 0.15152 | 0.14918 | 0.14687 | 0.14458 | 0.14232 | 0.14008 | 0.13787 |
-0.9 | 0.18407 | 0.18142 | 0.17880 | 0.17620 | 0.17362 | 0.17107 | 0.16854 | 0.16604 | 0.16356 | 0.16110 |
-0.8 | 0.21187 | 0.20898 | 0.20612 | 0.20328 | 0.20047 | 0.19768 | 0.19491 | 0.19216 | 0.18944 | 0.18675 |
-0.7 | 0.24198 | 0.23887 | 0.23578 | 0.23271 | 0.22967 | 0.22664 | 0.22364 | 0.22066 | 0.21771 | 0.21478 |
-0.6 | 0.27427 | 0.27095 | 0.26765 | 0.26436 | 0.26110 | 0.25786 | 0.25464 | 0.25144 | 0.24827 | 0.24511 |
-0.5 | 0.30856 | 0.30504 | 0.30155 | 0.29807 | 0.29462 | 0.29118 | 0.28776 | 0.28436 | 0.28097 | 0.27761 |
-0.4 | 0.34460 | 0.34092 | 0.33726 | 0.33362 | 0.32999 | 0.32637 | 0.32278 | 0.31920 | 0.31563 | 0.31208 |
-0.3 | 0.38211 | 0.37830 | 0.37450 | 0.37072 | 0.36695 | 0.36319 | 0.35944 | 0.35571 | 0.35199 | 0.34829 |
-0.2 | 0.42076 | 0.41685 | 0.41296 | 0.40907 | 0.40518 | 0.40131 | 0.39745 | 0.39360 | 0.38976 | 0.38593 |
-0.1 | 0.46019 | 0.45622 | 0.45226 | 0.44830 | 0.44435 | 0.44040 | 0.43646 | 0.43252 | 0.42860 | 0.42467 |
-0.0 | 0.50002 | 0.49603 | 0.49204 | 0.48805 | 0.48407 | 0.48008 | 0.47610 | 0.47212 | 0.46814 | 0.46416 |
 0.0 | 0.50002 | 0.50401 | 0.50800 | 0.51199 | 0.51597 | 0.51996 | 0.52394 | 0.52792 | 0.53190 | 0.53588 |
 0.1 | 0.53985 | 0.54382 | 0.54778 | 0.55174 | 0.55569 | 0.55964 | 0.56358 | 0.56751 | 0.57144 | 0.57537 |
 0.2 | 0.57928 | 0.58319 | 0.58708 | 0.59097 | 0.59485 | 0.59873 | 0.60259 | 0.60644 | 0.61028 | 0.61411 |
 0.3 | 0.61793 | 0.62174 | 0.62553 | 0.62932 | 0.63309 | 0.63685 | 0.64060 | 0.64433 | 0.64805 | 0.65175 |
 0.4 | 0.65544 | 0.65912 | 0.66278 | 0.66642 | 0.67005 | 0.67366 | 0.67726 | 0.68084 | 0.68440 | 0.68795 |
 0.5 | 0.69148 | 0.69499 | 0.69849 | 0.70196 | 0.70542 | 0.70886 | 0.71228 | 0.71568 | 0.71906 | 0.72242 |
 0.6 | 0.72576 | 0.72909 | 0.73239 | 0.73567 | 0.73893 | 0.74217 | 0.74539 | 0.74859 | 0.75176 | 0.75492 |
 0.7 | 0.75805 | 0.76116 | 0.76425 | 0.76732 | 0.77037 | 0.77339 | 0.77639 | 0.77936 | 0.78232 | 0.78525 |
